x, y, z
500.259552, 22.839695, 77.954201
500.259552, 2.030534, 88.931297
500.259552, -19.267176, 98.366409
500.259552, -36.183205, 108.061066
500.259552, -54.244274, 113.923668
500.259552, -68.641220, 117.236641
489.679382, -80.381676, 116.381676
419.572510, -88.961830, 115.557251
353.435120, -93.603050, 103.297707
275.740448, -95.862595, 100.595421
207.206100, -92.137405, 82.473282
136.839691, -87.404579, 68.351143
65.022903, -79.877861, 50.641220
-3.709924, -71.297707, 30.442749
-69.755722, -64.473282, 8.580153
-131.969467, -60.061069, -14.122137
-185.480911, -56.213741, -35.801525
-230.274811, -53.099236, -56.091602
-268.625946, -51.419846, -74.519081
-300.488556, -50.549618, -88.122139
-332.595428, -50.488548, -96.320610
-368.106873, -51.709923, -99.496185
-408.458008, -55.969467, -98.335876
-452.564880, -62.274811, -93.465652
-500.274811, -69.694656, -86.381676
-500.274811, -79.725189, -78.290077
-500.274811, -90.977097, -68.381676
-500.274811, -101.038170, -54.778625
-500.274811, -112.732826, -42.671757
-500.274811, -117.435112, -28.137405
-500.274811, -126.854965, -17.160305
-500.274811, -137.603058, -4.458015
-500.274811, -146.671753, 7.328244
-500.274811, -153.557251, 19.603054
-500.274811, -158.992371, 32.061069
-500.274811, -160.763351, 44.977100
-500.274811, -154.977097, 56.748093
-500.274811, -147.587784, 65.343513
-448.015259, -138.152664, 72.519081
-397.938934, -121.068703, 68.625954
-337.007629, -107.847328, 76.809158
-273.877869, -78.091606, 77.557251
-210.412216, -49.297710, 80.000000
-165.832062, 5.328244, 89.954201
-115.450378, 57.328243, 100.076332
-65.511452, 113.541985, 111.938934
-19.282442, 168.778625, 126.366409
24.717558, 216.534348, 140.732819
58.519085, 267.206116, 156.992371
89.175575, 303.511444, 171.343506
119.083969, 336.137390, 182.885498
150.122131, 364.748077, 192.809158
184.167938, 383.664124, 200.229004
215.007629, 406.458008, 212.809158
252.091599, 409.908386, 214.824432
284.366425, 414.854950, 221.603058
313.893127, 415.557251, 229.694656
345.007629, 402.748077, 237.541992
364.977112, 388.916016, 248.900757
375.801514, 367.557251, 262.473297
375.282440, 351.374054, 279.648865
373.404572, 330.488556, 297.740448
372.610687, 316.381683, 318.458008
369.908386, 301.175568, 342.381683
363.068695, 287.694672, 364.167938
349.770996, 275.389313, 383.572510
330.610687, 263.770996, 398.473297
309.206116, 247.343506, 407.801514
292.091614, 227.358780, 410.381683
278.396942, 209.465652, 401.694672
267.801514, 187.969467, 388.396942
259.893127, 168.152664, 367.770996
255.648849, 155.480911, 342.106873
249.419846, 140.061066, 311.221375
236.290070, 128.167938, 283.587799
216.030533, 116.732826, 254.274811
191.496185, 108.564888, 224.290070
161.618317, 95.938934, 194.290070
129.282440, 83.893127, 165.511444
95.465652, 71.648857, 138.076340
64.549622, 63.496181, 111.114502
37.297710, 51.114502, 86.396950
10.870229, 34.992367, 65.145035
-15.618320, 15.328244, 45.526718
-41.465649, -12.351145, 28.656488
-65.648857, -51.648853, 13.480916
-92.763359, -84.106873, -1.908397
-121.374046, -126.549622, -16.610687
-150.412216, -170.549622, -31.679390
-178.671753, -211.984726, -45.557251
-203.404587, -247.160309, -57.893131
-223.755722, -283.251923, -68.778625
-239.816788, -313.984741, -77.465652
-257.007629, -336.320618, -84.610687
-278.839691, -330.122131, -91.358780
-304.030548, -379.007629, -100.045799
-324.244263, -394.000000, -105.374046
-347.358765, -420.824432, -108.580154
-365.572510, -424.137390, -110.793892
-377.801514, -431.236633, -109.480919
-379.297699, -410.687012, -111.801529
-358.839691, -409.877869, -111.160309
-334.534363, -417.847321, -111.267174
-312.183197, -434.030548, -109.541985
-290.229004, -450.580139, -105.541985
-273.038177, -464.809174, -100.778625
-255.770996, -465.083984, -92.076332
-234.229004, -462.473297, -80.671753
-210.229004, -453.450378, -72.091606
-174.809158, -448.458008, -64.030533
-133.389313, -442.534363, -54.274811
-89.038170, -432.183197, -42.015266
-52.442749, -420.183197, -28.717558
-23.496183, -394.534363, -13.862596
0.030534, -365.480927, -1.893130
23.541985, -323.648865, 20.748091
44.870228, -282.687012, 36.488548
64.198471, -237.954193, 51.526718
79.954201, -193.709930, 59.129772
86.931297, -145.923660, 67.908394
90.717560, -95.053436, 83.587784
87.480919, -37.572517, 92.488548
82.091606, 25.099237, 90.610687
79.236641, 77.068703, 82.885498
73.770996, 123.770996, 73.770996
69.129768, 165.328247, 59.190838
61.160305, 202.824432, 40.671757
50.687023, 238.274811, 17.694656
43.969467, 266.183197, -10.259542
43.114502, 289.709930, -40.290077
50.931297, 301.038177, -70.671753
55.160305, 315.618317, -99.206108
60.534351, 333.923676, -125.496185
64.076332, 354.030548, -148.717560
68.061066, 377.099243, -166.580154
71.618324, 402.763367, -179.007629
76.931297, 429.969452, -181.801529
84.900764, 457.816803, -179.419846
85.435112, 491.587799, -170.900757
85.175575, 500.259552, -157.358780
76.412216, 500.259552, -137.114502
60.519085, 500.259552, -115.160309
34.610687, 500.259552, -95.618324
-4.931298, 500.259552, -76.183205
-44.045803, 500.259552, -55.923664
-66.427483, 481.587799, -46.900764
-80.244278, 445.725189, -41.175571
-90.961830, 413.709930, -37.419846
-106.702293, 377.587799, -33.206108
-123.969467, 347.389313, -30.549618
-137.801529, 312.839691, -26.717558
-144.366409, 278.687012, -26.442749
-144.137405, 252.503815, -29.206106
-140.290070, 213.099243, -33.770992
-131.389313, 175.877869, -40.458015
-119.343513, 147.786255, -47.358780
-105.557251, 97.984734, -57.343510
-93.343513, 48.916031, -66.580154
-79.541985, 15.541985, -74.213737
-68.793892, -45.251907, -81.893127
-55.374046, -110.167938, -88.748093
-36.519085, -144.793900, -95.404579
-25.328245, -203.221375, -100.076332
-15.389313, -235.587784, -103.923668
